data,turno,premio1,premio2,premio3,premio4,premio5,premio6,premio7,premio8,premio9,premio10
22/04/2019,Segunda Extração,6506,8598,7430,8382,1798,0405,4741,0092,6109,4686
22/04/2019,Primeira Extração,7550,8451,8668,0126,2295,7676,5312,6798,6886,8133
20/04/2019,Segunda Extração,7473,4623,2964,1173,6008,8934,8770,2822,5715,4280
20/04/2019,Primeira Extração,0889,4876,4023,7691,4790,6407,9440,9434,8536,8580
18/04/2019,Segunda Extração,7538,1076,9200,1264,3742,9450,3306,2532,5451,3889
18/04/2019,Primeira Extração,7317,8871,8175,5829,1984,7696,1850,4251,3826,2515
17/04/2019,Segunda Extração,6000,5113,8662,2317,4218,6831,3143,0313,5950,7269
17/04/2019,Primeira Extração,4011,1751,6313,3455,3962,1692,6043,3583,1172,0030
16/04/2019,Segunda Extração,8983,6949,6601,2417,8389,4150,6400,1333,7015,4150
16/04/2019,Primeira Extração,8481,9564,8077,0190,0195,3802,8630,9530,2203,0031
15/04/2019,Segunda Extração,3781,9993,6917,0436,1326,7469,6474,9393,1830,8324
15/04/2019,Primeira Extração,1533,7286,0709,3129,0620,7350,3273,1856,2672,5945
13/04/2019,Segunda Extração,2778,7881,5281,3287,6434,7146,1568,3069,2170,7396
13/04/2019,Primeira Extração,1703,5425,0852,1838,7998,9235,1623,8618,9053,2507
12/04/2019,Segunda Extração,8743,2202,9344,8821,4022,0810,0818,9367,6217,7461
12/04/2019,Primeira Extração,5712,1208,6747,0002,2458,0453,9561,6551,2173,2877
11/04/2019,Segunda Extração,3992,1784,9040,6207,6090,4476,7554,9501,4231,7282
11/04/2019,Primeira Extração,8813,2973,3791,4500,7410,9781,7047,2999,0755,2119
10/04/2019,Segunda Extração,6545,4774,3608,7133,1165,0361,9343,2715,6848,4509
10/04/2019,Primeira Extração,6808,9800,5978,8724,8756,3969,0060,1591,6397,1944
09/04/2019,Segunda Extração,4562,5967,1323,5555,3147,9923,9842,0796,2759,5636
09/04/2019,Primeira Extração,4419,0525,2396,2837,3839,1955,8149,8842,5717,1133
08/04/2019,Segunda Extração,9595,4950,4246,0415,7371,6771,5522,7050,2033,1791
08/04/2019,Primeira Extração,0213,7766,8674,3546,3937,0264,9162,3236,8983,3426
06/04/2019,Segunda Extração,8585,7370,6385,4232,3673,1541,3113,6168,0751,6622
06/04/2019,Primeira Extração,2495,4151,0454,5906,8135,3749,0780,9469,5857,0459
05/04/2019,Segunda Extração,2973,9770,2386,4777,2730,5669,7868,6188,0547,5974
05/04/2019,Primeira Extração,0911,1246,6287,7832,0304,7402,0439,1116,8245,1744
04/04/2019,Segunda Extração,2865,8945,5689,4567,8875,0584,9748,7824,3991,0733
04/04/2019,Primeira Extração,7480,5500,1332,0638,9239,8966,0963,1697,9040,4543
03/04/2019,Segunda Extração,1916,7069,0250,3654,7378,0598,5618,0870,3485,3869
03/04/2019,Primeira Extração,0617,7684,6433,3251,2577,1863,4444,9598,6825,5173
02/04/2019,Segunda Extração,7204,8730,6227,1611,5009,2693,7569,7317,8413,1847
02/04/2019,Primeira Extração,8590,9002,1195,5530,8315,3458,3077,0116,9973,0717
01/04/2019,Segunda Extração,2677,4672,6526,0576,0619,5655,5094,7188,5150,7236
01/04/2019,Primeira Extração,6645,5264,3815,7703,1587,1150,6166,8664,3400,1173
30/03/2019,Segunda Extração,3623,7191,6394,5544,9940,7327,8256,7976,9594,2133
30/03/2019,Primeira Extração,8492,5030,0987,6168,7349,6247,6369,0976,7766,6571
29/03/2019,Segunda Extração,3502,9194,0333,1591,4549,6603,1260,8647,5141,6154
29/03/2019,Primeira Extração,2431,8159,3921,3372,9160,2197,4419,2171,0702,2523
28/03/2019,Segunda Extração,9737,9874,2918,4031,7227,7477,1761,3036,3033,5416
28/03/2019,Primeira Extração,1162,5006,5799,9864,0565,2567,5163,7498,9418,5619
27/03/2019,Segunda Extração,0182,8113,3257,5064,1705,0328,4735,3803,7100,9455
27/03/2019,Primeira Extração,2385,9089,3062,2104,9901,7618,2897,3020,6339,6419
26/03/2019,Segunda Extração,2730,1464,2444,8976,4607,9957,0292,8879,6543,6732
26/03/2019,Primeira Extração,1493,8093,4086,0600,4830,3596,1667,6735,4728,7177
25/03/2019,Segunda Extração,5461,1585,5959,2004,5024,4657,9170,3336,2188,2580
25/03/2019,Primeira Extração,2191,1515,2541,9489,5342,9233,7492,9413,3868,7958
23/03/2019,Segunda Extração,4050,0822,1607,6190,7079,6773,4854,4083,4296,0217
23/03/2019,Primeira Extração,5249,8025,2199,9286,2523,4511,7882,5535,8826,5716
22/03/2019,Segunda Extração,5353,9191,4933,2234,8035,0110,6843,5882,4061,6652
22/03/2019,Primeira Extração,9307,1163,2163,7140,6408,1626,0856,8758,5152,4321
21/03/2019,Segunda Extração,3431,3478,5637,3533,7733,7005,2580,9927,3740,6262
21/03/2019,Primeira Extração,7781,1251,6455,7963,6950,5376,3789,0784,7453,2151
20/03/2019,Segunda Extração,8353,0201,3439,1554,7649,2169,6872,6436,1552,8313
20/03/2019,Primeira Extração,0258,5272,5191,7997,6862,3278,6886,5730,6099,7231
19/03/2019,Segunda Extração,0846,0244,3569,5819,6796,3548,3424,3810,5264,9367
19/03/2019,Primeira Extração,3062,8789,4657,1535,1639,6544,1169,3286,8068,3629
18/03/2019,Segunda Extração,5998,5777,2705,6772,6566,4801,1488,2993,8900,7875
18/03/2019,Primeira Extração,0717,4466,6487,2941,4566,6647,2397,8681,1956,6009
16/03/2019,Segunda Extração,9771,8484,6868,1162,3340,2951,2594,7024,5610,1986
16/03/2019,Primeira Extração,0064,2760,4112,1696,6184,0468,1369,7748,5281,5421
15/03/2019,Segunda Extração,7346,7522,4474,1072,1575,2196,5420,0655,4718,2702
15/03/2019,Primeira Extração,9483,0471,5272,8106,7737,9145,5465,2443,7460,2490
14/03/2019,Segunda Extração,4546,2552,2290,4418,0872,9665,7044,7019,9176,1605
14/03/2019,Primeira Extração,0772,9990,3570,5256,5857,6274,3312,9163,2284,1359
13/03/2019,Segunda Extração,7715,9245,1403,4244,7665,8701,9303,5645,8098,8897
13/03/2019,Primeira Extração,3898,6150,0520,9643,2783,4074,8609,5008,4672,0151
12/03/2019,Segunda Extração,4375,4325,1004,0984,7333,1559,0361,4009,9635,1300
26/01/2019,Segunda Extração,1466,3190,6240,1464,7722,2544,9122,2410,7890,1026
26/01/2019,Primeira Extração,7570,6211,7123,4018,7830,7505,4385,5920,6715,1051
12/03/2019,Primeira Extração,4739,6696,5843,2266,9097,5000,1478,1491,0425,7126
11/03/2019,Segunda Extração,2311,4927,6168,6769,1527,8687,4179,9811,9645,8361
11/03/2019,Primeira Extração,5986,4972,9932,1374,9500,7017,9359,7360,4575,0776
09/03/2019,Segunda Extração,9743,4338,8765,2382,3773,6650,6871,1941,5664,2871
09/03/2019,Primeira Extração,9061,7048,2521,8796,0732,2581,9589,2987,9678,2640
08/03/2019,Segunda Extração,5777,8080,1785,4981,5718,6976,5403,5353,8107,2385
08/03/2019,Primeira Extração,6574,0287,6572,0949,7315,2055,5980,7828,1330,6896
07/03/2019,Segunda Extração,1711,5532,5532,3772,1487,5936,1771,4678,1273,4972
07/03/2019,Primeira Extração,1026,3842,9902,4563,4670,8928,6889,0512,7100,7122
06/03/2019,Segunda Extração,1723,1653,1731,1427,9572,6004,9602,5919,8620,1411
06/03/2019,Primeira Extração,4171,0387,3950,5967,9868,5384,8193,1662,1888,9338
02/03/2019,Segunda Extração,6041,0406,3266,0661,9432,6612,5948,3573,2187,7661
02/03/2019,Primeira Extração,7589,4782,9492,1628,5163,0206,7279,8141,0407,4418
01/03/2019,Segunda Extração,3897,8618,8617,8968,1338,1694,5406,6173,5805,2813
01/03/2019,Primeira Extração,5412,2123,4823,4572,9289,0855,1632,0565,7162,0381
28/02/2019,Segunda Extração,5072,0347,7336,9515,2629,5308,4772,4456,8310,3686
28/02/2019,Primeira Extração,4603,8927,5868,1225,5759,8730,0668,4135,2515,9771
27/02/2019,Segunda Extração,5499,3744,8010,0743,4369,1886,5067,5134,0626,0307
27/02/2019,Primeira Extração,0892,4916,6982,6194,7282,6107,0650,4548,1650,3785
26/02/2019,Segunda Extração,1525,3710,4885,1415,2333,8124,0446,3803,7835,4523
26/02/2019,Primeira Extração,3771,2201,4045,0172,1961,5194,3810,5114,6252,2702
25/02/2019,Segunda Extração,7996,5600,7457,9585,6858,3963,2117,7735,6700,6379
25/02/2019,Primeira Extração,5285,2765,8935,0156,0731,3080,5684,0323,3957,7186
23/02/2019,Segunda Extração,2485,7513,6345,1657,8940,8661,4495,4936,8317,7798
23/02/2019,Primeira Extração,7669,6610,6968,2102,0586,5451,6708,5843,3472,3092
22/02/2019,Segunda Extração,9799,1882,5864,9508,9688,5245,6494,5814,5651,3910
22/02/2019,Primeira Extração,9475,4284,0451,5784,9058,8559,8027,2678,4677,3179
21/02/2019,Segunda Extração,5602,8494,6695,2459,6305,1543,3397,6941,5999,9993
21/02/2019,Primeira Extração,7101,7387,4697,1429,8139,3948,3859,1198,8089,4527
20/02/2019,Segunda Extração,4169,4991,3195,0564,9966,6023,9195,7649,9251,1523
20/02/2019,Primeira Extração,5944,2548,8615,6307,5204,0992,5468,2065,5110,9931
19/02/2019,Segunda Extração,4886,8684,1664,8187,2969,3602,4007,6266,5239,3376
19/02/2019,Primeira Extração,3281,0016,7994,0993,5095,4709,2576,5642,5545,5875
18/02/2019,Segunda Extração,9466,5816,5592,6644,5457,7840,6761,5792,6742,2410
18/02/2019,Primeira Extração,7818,3296,7335,0100,5616,0250,7371,3807,9425,7097
16/02/2019,Segunda Extração,7503,4399,2307,3449,5205,5358,7111,1290,0368,6155
16/02/2019,Primeira Extração,6769,5625,5680,1889,9947,6843,0194,4665,0555,4400
15/02/2019,Segunda Extração,1062,6581,6058,4363,6968,8197,8875,0260,5609,7627
15/02/2019,Primeira Extração,1745,3414,3016,5461,2277,2739,8960,1171,5850,6592
14/02/2019,Segunda Extração,8557,8654,6318,1130,9274,9554,7439,8481,4005,9389
14/02/2019,Primeira Extração,3374,1183,0424,3740,6750,9876,1956,7155,9680,5053
13/02/2019,Segunda Extração,7585,4041,0896,3542,8854,0203,2417,4442,1174,7072
13/02/2019,Primeira Extração,9247,6951,7025,9183,5229,4720,8237,2689,9566,5492
12/02/2019,Segunda Extração,1230,9048,2695,6824,4095,0843,2632,4043,1854,7961
12/02/2019,Primeira Extração,0018,2965,5069,6023,7915,8562,0883,6303,8504,3722
11/02/2019,Segunda Extração,7978,8832,3929,8780,5197,1001,0066,6358,9109,8942
11/02/2019,Primeira Extração,7043,0823,2187,8351,5180,5685,3823,4590,1131,5936
09/02/2019,19:00,7592,5060,0395,0504,8471,7986,4456,3394,4888,5585
